cohort,year,level,side,school,n_girls,pre_math,pre_fr,post_math,post_fr,cfepd,n_pre,n_post,n_eoy_valid,n_dropout,n_passed,n_repeated,n_cfm,taux_abandon,taux_reussite,n_eligible,n_enrolled_sec,n_not_trans,n_college_missing,taux_inscription
C4,2022,CM1,Ctrl,Maza Tsaye 1,26.0,9.94,6.52,8.99,9.16,,25.0,25.0,26.0,0.0,26.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Maza Tsaye 2,40.0,9.710526315789474,6.434210526315789,8.928571428571429,9.92142857142857,,38.0,35.0,40.0,0.0,40.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Oumarou Laouali Gago,37.0,9.824324324324325,11.0,13.808823529411764,13.485294117647058,,37.0,34.0,37.0,0.0,28.0,9.0,0.0,0.0,75.67567567567568,,,,,
C4,2022,CM1,Ctrl,Radi Centre 1,29.0,9.955357142857142,7.25,9.321428571428571,10.285714285714286,,28.0,28.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
C4,2022,CM1,Ctrl,Radi Centre 2,23.0,5.166666666666667,2.4444444444444446,0.0,,,18.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
C4,2022,CM1,Ctrl,Radi Quartier,40.0,7.4868421052631575,4.967105263157895,7.298611111111111,6.597222222222222,,38.0,36.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
C4,2022,CM1,Ctrl,Safo Chadaoua,10.0,5.722222222222222,4.972222222222222,9.425,6.75,,9.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Sarkin Aski,12.0,12.65,13.45,11.55,14.775,,10.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Soumarana,23.0,10.91304347826087,8.467391304347826,9.478260869565217,9.666666666666666,,23.0,23.0,23.0,0.0,23.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Ctrl,Tajaye Djirataoua,26.0,9.565217391304348,7.391304347826087,10.461538461538462,13.104166666666666,,23.0,26.0,26.0,0.0,21.0,5.0,0.0,0.0,80.76923076923077,,,,,
C4,2022,CM1,Ctrl,Yan Zango,28.0,8.770833333333334,11.052083333333334,11.428571428571429,14.125,,24.0,28.0,28.0,0.0,25.0,3.0,0.0,0.0,89.28571428571429,,,,,
C4,2022,CM1,Ctrl,kwantagora Goussaoua,24.0,7.428571428571429,3.5,11.391304347826088,6.315217391304348,,21.0,23.0,24.0,1.0,23.0,0.0,0.0,4.166666666666667,95.83333333333333,,,,,
C4,2022,CM1,Int,15,1.0,11.0,9.5,14.0,15.0,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Int,AtchidaKofoto bilingue,3.0,,,11.833333333333334,4.333333333333333,,0.0,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,
C4,2022,CM1,Int,Atchidakofoto Bilingue,24.0,7.339285714285714,2.3392857142857144,12.543478260869565,6.8478260869565215,,14.0,23.0,19.0,0.0,12.0,7.0,0.0,0.0,63.1578947368421,,,,,
C4,2022,CM1,Int,Dan Fillo 3,50.0,10.112903225806452,8.35483870967742,14.511904761904763,13.744047619047619,,31.0,42.0,47.0,0.0,37.0,10.0,0.0,0.0,78.72340425531915,,,,,
C4,2022,CM1,Int,Danja 1,31.0,10.75925925925926,8.074074074074074,12.916666666666666,15.416666666666666,,27.0,30.0,31.0,0.0,18.0,13.0,0.0,0.0,58.064516129032256,,,,,
C4,2022,CM1,Int,Danja 2,31.0,7.125,6.696428571428571,10.653846153846153,12.528846153846153,,28.0,26.0,31.0,0.0,20.0,11.0,0.0,0.0,64.51612903225806,,,,,
C4,2022,CM1,Int,El Kokia,51.0,6.713414634146342,5.140243902439025,10.666666666666666,9.627777777777778,,41.0,45.0,51.0,0.0,35.0,16.0,0.0,0.0,68.62745098039215,,,,,
C4,2022,CM1,Int,Garin Yari Idi,23.0,8.431818181818182,5.0,11.391304347826088,8.847826086956522,,22.0,23.0,23.0,0.0,18.0,5.0,0.0,0.0,78.26086956521739,,,,,
C4,2022,CM1,Int,Kalgon Waraou,16.0,9.266666666666667,6.233333333333333,14.25,11.9375,,15.0,16.0,16.0,0.0,16.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Int,Katare 1,39.0,8.140625,5.2578125,12.208333333333334,10.645833333333334,,32.0,36.0,39.0,0.0,29.0,10.0,0.0,0.0,74.35897435897436,,,,,
C4,2022,CM1,Int,Katare 2,23.0,8.571428571428571,9.904761904761905,12.833333333333334,14.027777777777779,,21.0,18.0,23.0,0.0,19.0,4.0,0.0,0.0,82.6086956521739,,,,,
C4,2022,CM1,Int,Koderaoua,47.0,6.4875,4.46875,11.085365853658537,9.426829268292684,,40.0,41.0,44.0,0.0,39.0,5.0,0.0,0.0,88.63636363636364,,,,,
C4,2022,CM1,Int,Maradou Centre,56.0,7.041666666666667,4.173611111111111,9.348484848484848,7.628787878787879,,36.0,33.0,50.0,0.0,34.0,16.0,0.0,0.0,68.0,,,,,
C4,2022,CM1,Int,Maradou Quartier,21.0,8.81578947368421,5.2368421052631575,13.345238095238095,10.154761904761905,,19.0,21.0,21.0,0.0,15.0,6.0,0.0,0.0,71.42857142857143,,,,,
C4,2022,CM1,Int,Namaroua,29.0,7.06,5.14,9.875,13.642857142857142,,25.0,28.0,28.0,0.0,28.0,0.0,0.0,0.0,100.0,,,,,
C4,2022,CM1,Int,Sabon Gari Kolta,29.0,9.576923076923077,7.509615384615385,13.60344827586207,12.0,,26.0,29.0,26.0,0.0,15.0,11.0,0.0,0.0,57.69230769230769,,,,,
C4,2022,CM1,Int,Safo Dan Ali,17.0,9.941176470588236,6.382352941176471,15.176470588235293,12.617647058823529,,17.0,17.0,17.0,0.0,15.0,2.0,0.0,0.0,88.23529411764706,,,,,
C4,2022,CM1,Int,Safo El Mougou,19.0,5.166666666666667,5.736111111111111,7.083333333333333,6.388888888888889,,18.0,18.0,19.0,0.0,14.0,5.0,0.0,0.0,73.6842105263158,,,,,
C4,2022,CM1,Int,Safo Nassaraoua,25.0,3.323529411764706,3.485294117647059,6.239130434782608,6.043478260869565,,17.0,23.0,25.0,0.0,16.0,9.0,0.0,0.0,64.0,,,,,
C4,2022,CM1,Int,Soura 1,42.0,12.447368421052632,13.421052631578947,14.407407407407407,16.22222222222222,,19.0,27.0,42.0,0.0,32.0,10.0,0.0,0.0,76.19047619047619,,,,,
C4,2022,CM1,Int,Soura 2,15.0,10.0,9.596153846153847,11.8,13.466666666666667,,13.0,15.0,15.0,0.0,14.0,1.0,0.0,0.0,93.33333333333333,,,,,
C4,2022,CM1,Int,Soura 3,22.0,11.657894736842104,12.473684210526315,14.171052631578947,14.223684210526315,,19.0,19.0,19.0,0.0,17.0,2.0,0.0,0.0,89.47368421052632,,,,,
C4,2022,CM1,Int,Soura Aboubacar 4,49.0,11.705128205128204,12.935897435897436,16.87878787878788,14.393939393939394,,39.0,33.0,47.0,0.0,29.0,18.0,0.0,0.0,61.702127659574465,,,,,
C4,2022,CM1,Int,Soura Magaji Rogo,18.0,10.083333333333334,11.555555555555555,13.583333333333334,14.541666666666666,,18.0,18.0,18.0,0.0,18.0,0.0,0.0,0.0,100.0,,,,,
